City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Kishi,NG,2022-10-25 22:50:14,9.0833,3.85,73.74,89,98,5.28
138,Beloha,MG,2022-10-25 22:50:14,-25.1667,45.05,70.38,86,96,4.52
139,Yukamenskoye,RU,2022-10-25 22:50:15,57.8865,52.2416,26.98,94,31,6.24
140,Gilgit,PK,2022-10-25 22:50:15,35.9221,74.3087,57.22,43,41,1.12
141,Labuhan,ID,2022-10-25 22:50:16,-6.8844,112.2051,78.19,80,89,11.61
142,Majenang,ID,2022-10-25 22:50:16,-7.2975,108.7642,73.47,98,100,4.5
143,Bijar,IR,2022-10-25 22:50:17,35.8668,47.6051,48.15,50,9,1.92
144,Turukhansk,RU,2022-10-25 22:50:17,65.8167,87.9833,30.04,98,100,13.71
145,Roquetas De Mar,ES,2022-10-25 22:50:18,36.7642,-2.6148,72.61,79,100,0.92
146,Argentan,FR,2022-10-25 22:50:18,48.75,-0.0167,59.09,76,100,11.18
147,Katsuura,JP,2022-10-25 22:50:18,35.1333,140.3,57.16,73,80,24.45
148,Polson,US,2022-10-25 22:50:19,47.6936,-114.1632,42.73,75,96,11.12
149,Lakatoro,VU,2022-10-25 22:50:19,-16.0999,167.4164,81.18,74,12,4.34
150,La Tuque,CA,2022-10-25 22:50:20,47.4334,-72.7824,62.85,88,94,4.61
151,Esperance,AU,2022-10-25 22:50:20,-33.8667,121.9,59.77,69,19,9.57
152,Carnarvon,AU,2022-10-25 22:50:20,-24.8667,113.6333,64.49,63,0,23.49
153,Sao Jose Da Coroa Grande,BR,2022-10-25 22:50:21,-8.8978,-35.1478,77.25,80,56,11.68
154,Kalmar,SE,2022-10-25 22:50:21,56.6616,16.3616,51.96,94,20,8.05
155,Fort Nelson,CA,2022-10-25 22:50:22,58.8053,-122.7002,25.95,83,100,2.3
156,Mkushi,ZM,2022-10-25 22:50:22,-13.6202,29.3939,66.51,66,91,3.83
157,Chuy,UY,2022-10-25 22:50:23,-33.6971,-53.4616,59.36,84,11,11.43
158,Ziniare,BF,2022-10-25 22:50:23,12.5822,-1.2983,82.44,28,16,6.93
159,Stabat,ID,2022-10-25 22:50:24,3.761,98.4513,77.2,98,100,2.08
160,Bethel,US,2022-10-25 22:50:24,41.3712,-73.414,68.04,85,48,4.27
161,Rognan,NO,2022-10-25 22:50:24,67.0953,15.3878,43.05,91,100,2.93
162,Saskylakh,RU,2022-10-25 22:50:25,71.9167,114.0833,-6.7,100,68,4.07
163,Praia Da Vitoria,PT,2022-10-25 22:50:25,38.7333,-27.0667,59.76,94,40,12.71
164,Baykit,RU,2022-10-25 22:50:26,61.67,96.37,31.95,80,100,10.29
165,Richards Bay,ZA,2022-10-25 22:50:26,-28.783,32.0377,70.63,84,80,18.92
166,Chateaubelair,VC,2022-10-25 22:50:26,13.2833,-61.25,79.32,89,75,11.5
167,Salisbury,GB,2022-10-25 22:45:47,51.0693,-1.7957,62.44,85,40,14.97
168,Dzilam Gonzalez,MX,2022-10-25 22:50:27,21.2833,-88.9333,80.82,74,96,5.06
169,Aksarka,RU,2022-10-25 22:50:27,66.5606,67.7975,21.63,89,99,4.47
170,Dunedin,NZ,2022-10-25 22:47:51,-45.8742,170.5036,58.8,62,100,1.01
171,Kodiak,US,2022-10-25 22:50:28,57.79,-152.4072,44.11,81,75,3.44
172,Vao,NC,2022-10-25 22:50:28,-22.6667,167.4833,71.65,79,100,13.87
173,Sucua,EC,2022-10-25 22:50:29,-2.4667,-78.1667,77.74,78,75,3.44
174,Srednekolymsk,RU,2022-10-25 22:50:29,67.45,153.6833,10.92,94,100,10.65
175,Muscat,OM,2022-10-25 22:50:30,23.6139,58.5922,83.66,43,0,5.64
176,Arman,RU,2022-10-25 22:50:30,59.7,150.1667,26.02,85,69,5.01
177,Dubbo,AU,2022-10-25 22:50:04,-32.25,148.6167,69.93,73,1,8.05
178,Yuncheng,CN,2022-10-25 22:50:31,35.0231,110.9928,56.08,77,100,2.93
179,Lompoc,US,2022-10-25 22:50:31,34.6391,-120.4579,79.02,67,0,20.71
180,Fallon,US,2022-10-25 22:50:32,39.4735,-118.7774,60.67,38,75,9.22
181,Tamiahua,MX,2022-10-25 22:51:32,21.2667,-97.45,73.02,66,99,14.88
182,Nabire,ID,2022-10-25 22:49:19,-3.3667,135.4833,80.73,77,100,2.15
183,Auki,SB,2022-10-25 22:51:32,-8.7676,160.7034,84.69,68,45,4.97
184,Davila,PH,2022-10-25 22:51:33,18.4726,120.5763,76.98,78,100,24.05
185,Rauma,FI,2022-10-25 22:51:33,61.1272,21.5113,42.84,99,100,7.56
186,Mae Ramat,TH,2022-10-25 22:51:34,16.984,98.5166,73.72,95,79,1.25
187,Ambovombe,MG,2022-10-25 22:51:34,-25.1667,46.0833,70.93,87,100,5.88
188,Lebu,CL,2022-10-25 22:48:12,-37.6167,-73.65,55.31,91,85,10.13
189,Cotonou,BJ,2022-10-25 22:51:35,6.3654,2.4183,76.98,94,20,2.3
190,Lypova Dolyna,UA,2022-10-25 22:51:35,50.5643,33.7979,52.09,99,100,7.99
191,Nagato,JP,2022-10-25 22:51:35,34.3833,131.2,58.42,60,0,10.47
192,Arcata,US,2022-10-25 22:48:40,40.8665,-124.0828,65.75,82,40,10.36
193,Urumqi,CN,2022-10-25 22:51:36,43.801,87.6005,36.55,75,0,4.47
194,Chropyne,CZ,2022-10-25 22:51:37,49.3564,17.3645,49.17,88,1,1.63
