City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Esil,KZ,51.9556,66.4042,12.76,95,76,4.43,broken clouds
121,Kaoma,ZM,-14.7833,24.8,69.17,53,70,5.39,broken clouds
122,Ulaangom,MN,49.9811,92.0667,29.1,51,88,9.04,overcast clouds
123,Bluff,NZ,-46.6,168.3333,60.78,76,75,6.51,broken clouds
124,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.27,87,82,8.12,broken clouds
125,Norman Wells,CA,65.282,-126.8329,16.88,95,100,2.3,light snow
126,Aksu,CN,41.1231,80.2644,47.97,35,38,3.36,scattered clouds
127,Marondera,ZW,-18.1853,31.5519,57.67,81,13,8.72,few clouds
128,San Patricio,US,28.017,-97.5169,76.84,32,33,14.25,scattered clouds
129,Katsuura,JP,35.1333,140.3,64.31,64,0,12.8,clear sky
130,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.03,81,83,19.33,broken clouds
131,Kruisfontein,ZA,-34.0033,24.7314,61.88,80,93,14.74,overcast clouds
132,Flinders,AU,-34.5833,150.8552,70.18,49,7,14.0,clear sky
133,Wilmington,US,34.2257,-77.9447,60.91,91,100,11.5,overcast clouds
134,Tsiroanomandidy,MG,-18.7667,46.0333,68.81,76,48,5.82,scattered clouds
135,Kavieng,PG,-2.5744,150.7967,84.56,72,93,11.12,light rain
136,Bintulu,MY,3.1667,113.0333,77.65,89,85,4.34,overcast clouds
137,Georgetown,MY,5.4112,100.3354,80.24,87,20,3.44,few clouds
138,Faanui,PF,-16.4833,-151.75,78.78,78,22,9.01,moderate rain
139,Temir,KZ,49.1414,57.13,34.99,51,100,11.36,overcast clouds
140,Bethel,US,41.3712,-73.414,48.63,65,0,0.0,clear sky
141,Sorland,NO,67.667,12.6934,44.46,83,100,19.42,light rain
142,Vanimo,PG,-2.6741,141.3028,84.94,69,98,6.64,overcast clouds
143,Nikolskoye,RU,59.7035,30.7861,51.69,97,100,6.35,moderate rain
144,Mogadishu,SO,2.0371,45.3438,78.28,80,88,8.68,overcast clouds
145,Kudahuvadhoo,MV,2.6708,72.8944,80.46,82,94,16.46,overcast clouds
146,Civita Castellana,IT,42.2952,12.4092,65.8,84,8,3.36,clear sky
147,Hazorasp,UZ,41.3194,61.0742,46.24,46,24,4.97,few clouds
148,Sitka,US,57.0531,-135.33,40.64,81,100,6.98,light rain
149,Pangnirtung,CA,66.1451,-65.7125,20.79,73,97,9.66,overcast clouds
150,Orlik,RU,52.5178,99.825,25.45,95,100,3.91,light snow
151,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.3,72,70,10.27,broken clouds
152,Balsas,BR,-7.5325,-46.0356,80.02,62,87,1.95,overcast clouds
153,Banda,IN,25.4833,80.3333,69.08,59,0,4.21,clear sky
154,Mercedes,AR,-34.6515,-59.4307,77.86,40,81,9.91,broken clouds
155,Kozhva,RU,65.1073,57.0459,19.6,98,79,7.02,broken clouds
156,Luau,AO,-10.7073,22.2247,66.22,90,100,3.04,moderate rain
157,Sola,VU,-13.8833,167.55,81.72,70,37,3.02,scattered clouds
158,Cayenne,GF,4.9333,-52.3333,77.04,94,0,0.0,clear sky
159,Cap Malheureux,MU,-19.9842,57.6142,72.46,72,82,1.01,broken clouds
160,Fort Nelson,CA,58.8053,-122.7002,30.81,88,86,2.75,overcast clouds
161,Nemuro,JP,43.3236,145.575,55.08,77,68,14.25,broken clouds
162,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.22,88,92,2.17,overcast clouds
163,Cairns,AU,-16.9167,145.7667,92.1,66,24,5.75,few clouds
164,Sabang,ID,5.8933,95.3214,80.76,78,98,8.77,light rain
165,Hermanus,ZA,-34.4187,19.2345,61.81,82,93,14.0,overcast clouds
166,Dingle,PH,10.9995,122.6711,76.82,93,100,23.76,heavy intensity rain
167,Igarka,RU,67.4667,86.5833,22.62,95,100,15.97,light snow
168,Kyra,RU,49.5776,111.9753,29.53,61,94,0.92,overcast clouds
169,Saravan,AM,39.7196,45.6483,40.46,83,43,3.71,scattered clouds
170,Carnarvon,AU,-24.8667,113.6333,68.04,58,47,20.38,scattered clouds
171,Pachino,IT,36.7186,15.0907,67.15,76,0,8.59,clear sky
172,Manakara,MG,-22.1333,48.0167,70.25,80,58,7.78,broken clouds
173,Carrickmacross,IE,53.9728,-6.7189,53.67,89,79,8.3,broken clouds
174,Charters Towers,AU,-20.1,146.2667,85.86,18,15,12.19,few clouds
175,Hasaki,JP,35.7333,140.8333,61.29,61,3,18.34,clear sky
176,Dunedin,NZ,-45.8742,170.5036,65.37,65,83,5.23,light rain
177,Gat,IL,31.61,34.7642,69.4,76,100,4.79,overcast clouds
178,Codrington,AU,-38.2667,141.9667,56.71,67,67,13.0,broken clouds
179,Krasnodon,UA,48.2923,39.7373,42.69,82,100,4.23,overcast clouds
180,Chokurdakh,RU,70.6333,147.9167,-8.61,99,92,7.43,overcast clouds
181,East London,ZA,-33.0153,27.9116,63.79,77,100,21.32,overcast clouds
182,New Norfolk,AU,-42.7826,147.0587,55.92,73,89,5.01,overcast clouds
183,Meadow Lake,US,34.8014,-106.5436,59.47,34,0,2.62,clear sky
184,Pervouralsk,RU,56.9053,59.9436,27.84,91,100,6.08,overcast clouds
185,Pevek,RU,69.7008,170.3133,6.08,93,100,5.14,overcast clouds
186,Nizhniy Tsasuchey,RU,50.5167,115.1333,28.18,63,56,5.82,broken clouds
187,Akranes,IS,64.3218,-22.0749,37.96,77,96,8.95,overcast clouds
